Step,Train Loss,Train Accuracy,Step Time (s)
48,1.3132172410004148,0.533,167.72588396072388
49,1.3105956632520357,0.532,164.45111727714539
50,1.307930258202065,0.534,166.74336194992065
51,1.305222983884021,0.532,159.1943702697754
52,1.3024758123797886,0.532,158.74017095565796
53,1.299690711316252,0.533,159.0381360054016
54,1.296869626764673,0.535,159.20512700080872
55,1.2940144679213026,0.541,159.77375388145447
56,1.291127093877765,0.545,160.28592777252197
57,1.2882093027107788,0.546,160.00059413909912
58,1.285262823029539,0.546,159.63480496406555
59,1.2822893080326847,0.547,159.8383891582489
60,1.2792903320383098,0.547,160.3318109512329
61,1.2762673893635486,0.548,159.74872016906738
62,1.2732218953664978,0.549,159.9288330078125
63,1.2701551893926781,0.55,159.6224958896637
64,1.2670685393304448,0.552,159.60951399803162
65,1.2639631474433488,0.556,159.831472158432
66,1.2608401571337444,0.555,159.83026719093323
67,1.257700660293068,0.557,159.6139440536499
68,1.254545704904993,0.558,159.59972310066223
69,1.251376302593298,0.558,159.7645230293274
70,1.2481934358427298,0.559,159.80138397216797
71,1.2449980646608512,0.563,160.16125226020813
72,1.2417911324961688,0.565,159.62343287467957
73,1.2385735712769503,0.568,159.910551071167
74,1.2353463054845126,0.569,159.70613813400269
75,1.2321102552187975,0.57,159.45743584632874
76,1.2288663382598266,0.573,159.66459488868713
77,1.225615471164275,0.575,159.4173550605774
78,1.2223585694678711,0.576,159.36772990226746
79,1.219096547091052,0.582,159.0828788280487
80,1.2158303150579814,0.584,159.23976516723633
81,1.2125607796577902,0.589,159.31886267662048
82,1.2092888401733977,0.59,159.51648211479187
83,1.206015386306939,0.593,159.41584086418152
84,1.2027412954229812,0.593,159.36223793029785
85,1.1994674297197216,0.593,159.28960371017456
86,1.19619463342542,0.595,159.39173293113708
87,1.1929237301030595,0.598,159.57323718070984
88,1.1896555201266794,0.601,159.92088913917542
89,1.186390778379936,0.604,159.3392996788025
90,1.1831302522087137,0.607,159.60994601249695
91,1.1798746596455933,0.611,159.4692771434784
92,1.1766246879121216,0.615,159.9146671295166
93,1.1733809921914118,0.621,159.4169762134552
94,1.1701441946601245,0.624,159.36387300491333
95,1.166914883754964,0.626,159.2319941520691
96,1.1636936136537113,0.633,159.36591506004333
97,1.1604809039408255,0.637,159.24949407577515
98,1.1572772394331408,0.639,159.13904213905334
99,1.1540830701393827,0.641,158.90811014175415
100,1.150898811331511,0.643,159.10140585899353
101,1.1477248437043146,0.644,158.95675587654114
102,1.1445615136113958,0.648,158.9530210494995
103,1.1414091333625247,0.652,159.51096606254578
104,1.138267981570588,0.655,159.19799399375916
105,1.1351383035473213,0.658,159.02614879608154
106,1.1320203117402448,0.662,158.8481888771057
107,1.1289141862138259,0.666,158.9783570766449
108,1.1258200751748058,0.67,158.8702311515808
109,1.1227380955467277,0.674,159.64986419677734
110,1.1196683335989557,0.674,159.01554107666016
111,1.1166108456342023,0.675,158.94622111320496
112,1.11356565874383,0.678,158.84938502311707
113,1.1105327716371305,0.683,158.52529501914978
114,1.1075121555503677,0.685,158.3876690864563
115,1.1045037552461854,0.684,161.0469491481781
116,1.1015074901067,0.689,163.66841578483582
117,1.0985232553300095,0.691,166.2760739326477
118,1.095550923234586,0.693,163.98339915275574
119,1.0925903446794185,0.704,158.95053696632385
120,1.0896413506025515,0.706,158.84465289115906
121,1.0867037536841473,0.711,160.28479480743408
122,1.0837773501362546,0.715,170.00591778755188
123,1.0808619216211441,0.719,168.28214311599731
124,1.077957237298635,0.723,167.11085987091064
125,1.0750630560006096,0.725,167.93450474739075
126,1.0721791285299669,0.729,167.07743287086487
127,1.069305200075879,0.733,167.05193710327148
128,1.0664410127400248,0.739,169.60620284080505
129,1.0635863081604278,0.745,167.51565194129944
130,1.06074083022032,0.748,161.00058102607727
131,1.057904327825091,0.749,161.84600400924683
132,1.0550765577274754,0.753,169.05013489723206
133,1.0522572873788352,0.756,169.02669715881348
134,1.0494462977815902,0.758,171.38799905776978
135,1.046643386315483,0.759,172.9736840724945
136,1.04384836950756,0.76,168.32903814315796
137,1.041061085714606,0.762,169.8593258857727
138,1.0382813976857603,0.764,171.97669792175293
139,1.0355091949723183,0.768,166.86569595336914
140,1.0327443961499494,0.77,162.03302192687988
141,1.0299869508218684,0.775,160.7540979385376
142,1.0272368413711224,0.778,160.72289896011353
143,1.0244940844313601,0.78,160.6868498325348
144,1.0217587320516393,0.782,160.79873299598694
